"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y"
13591, 3.830209346180000e-01, 2.066543167930000e-02, 4.825067965897831e+05, -1.356722393768493e+00, 2.853586324159063e-04, 4.145127405952831e-04
13592, 3.826354488620000e-01, 2.010755158470000e-02, 4.814666580982112e+05, -1.359007729341974e+00, 2.859741188603357e-04, 4.117266733293238e-04
13593, 3.822472303530000e-01, 1.955150331250000e-02, 4.805098493371095e+05, -1.361109977375752e+00, 2.856961957813799e-04, 4.071095236915150e-04
13594, 3.818563059780000e-01, 1.899729357960000e-02, 4.795797275468716e+05, -1.363153590252426e+00, 2.845828444829653e-04, 4.021964130467550e-04
13595, 3.814637320640000e-01, 1.844419762780000e-02, 4.785768151691928e+05, -1.365357134638453e+00, 2.807665914654366e-04, 3.951873566681204e-04
13596, 3.810706298140000e-01, 1.789143093110000e-02, 4.774629462462837e+05, -1.367804466695046e+00, 2.753887368946628e-04, 3.876839456112378e-04
13597, 3.806781048620000e-01, 1.733821538290000e-02, 4.761945256065437e+05, -1.370591371355938e+00, 2.723854462788531e-04, 3.845308954223858e-04
13598, 3.802864310600000e-01, 1.678436499500000e-02, 4.748111507746693e+05, -1.373630847099176e+00, 2.714573441557440e-04, 3.837381758776841e-04
13599, 3.798945838700000e-01, 1.623061257640000e-02, 4.734114271069473e+05, -1.376706243613014e+00, 2.711973099032202e-04, 3.822989437784186e-04
13600, 3.795014289950000e-01, 1.567777046270000e-02, 4.720452267265582e+05, -1.379707984587995e+00, 2.720809480897980e-04, 3.809117618986416e-04
13601, 3.791059729610000e-01, 1.512656184110000e-02, 4.707552237849187e+05, -1.382542308705708e+00, 2.732923169095487e-04, 3.786995221002614e-04
13602, 3.787074523420000e-01, 1.457756178340000e-02, 4.695609061961867e+05, -1.385166398183868e+00, 2.742127861406250e-04, 3.750183431972669e-04
13603, 3.783051448330000e-01, 1.403133487530000e-02, 4.684902191210467e+05, -1.387518853439309e+00, 2.733993123109047e-04, 3.686775495476769e-04
13604, 3.778992848020000e-01, 1.348775206240000e-02, 4.674409506003439e+05, -1.389824249014923e+00, 2.716033392481771e-04, 3.625883197556934e-04
13605, 3.774917412630000e-01, 1.294544751270000e-02, 4.662653491919477e+05, -1.392407216322269e+00, 2.636455019958079e-04, 3.510354422166510e-04
13606, 3.770845234420000e-01, 1.240292371470000e-02, 4.649199242325753e+05, -1.395363310675105e+00, 2.573110830282347e-04, 3.436587095025647e-04
13607, 3.766786135180000e-01, 1.185945297170000e-02, 4.634393290070317e+05, -1.398616393765750e+00, 2.545092980188933e-04, 3.410168496915975e-04
13608, 3.762731133760000e-01, 1.131571587330000e-02, 4.618997684519793e+05, -1.401999032262929e+00, 2.532270570901770e-04, 3.390890787122119e-04
13609, 3.758669228510000e-01, 1.077254131370000e-02, 4.603570965072306e+05, -1.405388506935882e+00, 2.518677160850782e-04, 3.356370105816286e-04
13610, 3.754589456140000e-01, 1.023076208090000e-02, 4.588413279652080e+05, -1.408718870919443e+00, 2.513838292838671e-04, 3.319864975509525e-04
13611, 3.750481204460000e-01, 9.691201502000001e-03, 4.573697980767381e+05, -1.411952036145815e+00, 2.512548523091010e-04, 3.276078226170405e-04
13612, 3.746335708900000e-01, 9.154567079340000e-03, 4.559496949916614e+05, -1.415072209204147e+00, 2.510378768942413e-04, 3.221239865892465e-04
13613, 3.742145039730000e-01, 8.621530801740000e-03, 4.545855554586340e+05, -1.418069422197686e+00, 2.504697603100561e-04, 3.153132637336523e-04
13614, 3.737901427200000e-01, 8.092785854020000e-03, 4.532867677136383e+05, -1.420923047806286e+00, 2.490786926592824e-04, 3.067074740811757e-04
13615, 3.733597591190000e-01, 7.569025537820000e-03, 4.520469224934548e+05, -1.423647168113586e+00, 2.460162810497113e-04, 2.961516868966715e-04
13616, 3.729238508540000e-01, 7.049953256250000e-03, 4.507440415042018e+05, -1.426509787175258e+00, 2.418465793252213e-04, 2.860222977051412e-04
13617, 3.724845037860000e-01, 6.533895985350000e-03, 4.493111189280700e+05, -1.429658126520271e+00, 2.333623004528870e-04, 2.733890486637883e-04
13618, 3.720438785080000e-01, 6.019046370020000e-03, 4.477201394559666e+05, -1.433153739858050e+00, 2.232370276160099e-04, 2.612541446843026e-04
13619, 3.716041190920000e-01, 5.503582364530000e-03, 4.458610769974428e+05, -1.437238370514653e+00, 2.170826188118760e-04, 2.555016498896827e-04
13620, 3.711665204510000e-01, 4.986414497720000e-03, 4.437219166185509e+05, -1.441938417047759e+00, 2.165858879094650e-04, 2.556627381350991e-04
13621, 3.707283825410000e-01, 4.469843709280000e-03, 4.416111870731416e+05, -1.446575996903911e+00, 2.186401367570916e-04, 2.556366918095810e-04
13622, 3.702860765670000e-01, 3.956988861750000e-03, 4.395589153377300e+05, -1.451085136447721e+00, 2.225175873016024e-04, 2.550021618367496e-04
13623, 3.698379257390000e-01, 3.449392192230000e-03, 4.375521613910048e+05, -1.455494266788378e+00, 2.264200828713765e-04, 2.531750772115896e-04
13624, 3.693834077370000e-01, 2.947655909330000e-03, 4.356430526671464e+05, -1.459688856370082e+00, 2.278605178276879e-04, 2.494093649177948e-04
13625, 3.689247572460000e-01, 2.449865042580000e-03, 4.333675008084319e+05, -1.464688574825037e+00, 2.265747389755874e-04, 2.460344119585212e-04
