"Density","X-Momentum","Y-Momentum","Energy","TKE","Omega","Limiter_Density","Limiter_X-Momentum","Limiter_Y-Momentum","Limiter_Energy","Limiter_TKE","Limiter_Omega","Residual_Density","Residual_X-Momentum","Residual_Y-Momentum","Residual_Energy","Residual_TKE","Residual_Omega","Grid_Velx","Grid_Vely","Pressure","Temperature","Pressure_Coefficient","Mach","Entropy","Total_Pressure","MachIs","SoundSpeed","Laminar_Viscosity","Skin_Friction_Coefficient_X","Skin_Friction_Coefficient_Y","Heat_Flux","Y_Plus","Eddy_Viscosity","Sharp_Edge_Dist","Points:0","Points:1","Points:2"
1.5348,450.48,148.87,1.8919e+06,367.05,37003,0,0,0,0,0,0,-1.1702e-15,-4.7633e-13,4.0143e-13,3.7588e-11,-1.0326e-10,-1.0017e-09,0,-297.67,5.3268e+05,1163.4,-1.2465,0.46148,7059.9,6.1066e+05,1.1041,669.91,4.5418e-05,0,0,0,0,0.015293,0.016521,0.41172,0.07704,0
1.5314,449.73,143.14,1.89e+06,378.14,41619,0,0,0,0,0,0,-5.8258e-16,2.7566e-13,7.8608e-13,2.0654e-09,-9.8755e-11,-9.7022e-10,0,-297.67,5.323e+05,1165,-1.2473,0.4597,7062,6.096e+05,1.1047,670.39,4.5456e-05,0,0,0,0,0.013914,0.036432,0.41172,0.074597,0
1.5401,448.97,155.19,1.8958e+06,354.57,31712,0,0,0,0,0,0,-5.8884e-16,-5.4467e-13,3.6635e-13,1.829e-10,-6.6459e-11,-6.0637e-10,0,-297.67,5.3385e+05,1161.9,-1.2439,0.46073,7057.6,6.1171e+05,1.1023,669.47,4.5383e-05,0,0,0,0,0.017224,0.0067748,0.41172,0.014655,0
1.5384,449.47,153.33,1.8945e+06,358.09,33261,0,0,0,0,0,0,-9.7338e-16,-7.065e-13,3.7229e-13,1.3165e-10,-8.2967e-11,-7.8064e-10,0,-297.67,5.3343e+05,1162.3,-1.2448,0.46105,7058.3,6.1135e+05,1.1029,669.59,4.5393e-05,0,0,0,0,0.016643,0.0074931,0.41172,0.01337,0
1.5311,449.52,142.64,1.8898e+06,378.98,41974,0,0,0,0,0,0,-6.5223e-16,2.2258e-13,7.9724e-13,2.0904e-09,-9.9009e-11,-9.7217e-10,0,-297.67,5.3226e+05,1165.2,-1.2474,0.45943,7062.2,6.0947e+05,1.1048,670.43,4.5459e-05,0,0,0,0,0.013839,0.036295,0.41172,0.07444,0
1.5305,448.86,141.01,1.8895e+06,381.88,43142,0,0,0,0,0,0,-9.0883e-16,6.1268e-14,6.8727e-13,1.5653e-09,-1.0206e-10,-1.0109e-09,0,-297.67,5.3227e+05,1165.7,-1.2474,0.45844,7062.8,6.0914e+05,1.1047,670.58,4.5471e-05,0,0,0,0,0.013596,0.035879,0.41172,0.073968,0
1.5279,446.21,134.27,1.8886e+06,393.33,47789,0,0,0,0,0,0,-2.0461e-15,-8.3139e-13,3.0296e-13,-1.1176e-09,-1.1355e-10,-1.1612e-09,0,-297.67,5.3236e+05,1167.9,-1.2472,0.45439,7065.2,6.0786e+05,1.1046,671.2,4.5521e-05,0,0,0,0,0.012629,0.034163,0.41172,0.072015,0
1.5275,444.81,131.14,1.8891e+06,398.99,49945,0,0,0,0,0,0,-2.3671e-15,-8.0401e-13,3.1599e-13,-6.2527e-10,-1.2344e-10,-1.2596e-09,0,-297.67,5.3269e+05,1168.9,-1.2465,0.45212,7066.2,6.0744e+05,1.1041,671.5,4.5544e-05,0,0,0,0,0.012203,0.033452,0.41172,0.071217,0
1.5419,447.89,157,1.8971e+06,350.56,29931,0,0,0,0,0,0,-2.8456e-16,-4.0223e-13,1.6061e-13,-7.0223e-11,-5.3084e-11,-4.6316e-10,0,-297.67,5.343e+05,1161.5,-1.2429,0.45986,7056.9,6.1191e+05,1.1016,669.36,4.5374e-05,0,0,0,0,0.018133,0.0062653,0.41172,0.016206,0
1.5437,446.88,158.38,1.8986e+06,347.32,28498,0,0,0,0,0,0,-4.0011e-16,-6.2074e-13,1.5831e-13,-8.5555e-10,-4.3949e-11,-3.5884e-10,0,-297.67,5.348e+05,1161.2,-1.2418,0.45889,7056.3,6.1213e+05,1.1008,669.28,4.5367e-05,0,0,0,0,0.018816,0.0061372,0.41172,0.017572,0
1.5251,439.64,123.98,1.8879e+06,409.06,54231,0,0,0,0,0,0,-2.4832e-15,-6.5478e-13,6.747e-13,3.4922e-10,-1.4033e-10,-1.4409e-09,0,-297.67,5.3293e+05,1171.3,-1.2459,0.44561,7068.7,6.0556e+05,1.1037,672.19,4.5599e-05,0,0,0,0,0.01156,0.032175,0.41172,0.069715,0
1.5234,434.21,117.75,1.8876e+06,419.28,58362,0,0,0,0,0,0,-2.0875e-15,-3.9027e-13,6.3806e-13,-4.5685e-11,-1.1609e-10,-1.2116e-09,0,-297.67,5.3339e+05,1173.6,-1.2449,0.43895,7071,6.0386e+05,1.103,672.84,4.565e-05,0,0,0,0,0.011022,0.03136,0.41172,0.068767,0
1.522,431.18,113.38,1.8869e+06,426.87,61316,0,0,0,0,0,0,-1.7554e-15,-1.8693e-13,6.6035e-13,1.9958e-10,-1.0277e-10,-1.0853e-09,0,-297.67,5.3354e+05,1175,-1.2446,0.4351,7072.5,6.0273e+05,1.1028,673.24,4.5683e-05,0,0,0,0,0.010602,0.030678,0.41172,0.067978,0
