"Density","X-Momentum","Y-Momentum","Energy","TKE","Omega","Limiter_Density","Limiter_X-Momentum","Limiter_Y-Momentum","Limiter_Energy","Limiter_TKE","Limiter_Omega","Residual_Density","Residual_X-Momentum","Residual_Y-Momentum","Residual_Energy","Residual_TKE","Residual_Omega","Grid_Velx","Grid_Vely","Pressure","Temperature","Pressure_Coefficient","Mach","Entropy","Total_Pressure","MachIs","SoundSpeed","Laminar_Viscosity","Skin_Friction_Coefficient_X","Skin_Friction_Coefficient_Y","Heat_Flux","Y_Plus","Eddy_Viscosity","Sharp_Edge_Dist","Points:0","Points:1","Points:2"
1.8473,410.72,-990.02,2.5813e+06,176.21,24516,0,0,0,0,0,0,-3.3499e-15,-1.6502e-12,-2.1676e-12,-6.6393e-09,-1.905e-11,6.8148e-11,0,0,6.6513e+05,1206.8,-0.95546,0.85035,7042,1.0377e+06,0.90788,682.31,4.6403e-05,0,0,0,0,0.013268,0.046959,0.26712,0.04212,0
1.8477,410.66,-990.25,2.5818e+06,174.84,24417,0,0,0,0,0,0,-3.1983e-15,-1.628e-12,-2.2192e-12,-6.2039e-09,-1.8442e-11,7.0255e-11,0,0,6.6526e+05,1206.8,-0.95519,0.85033,7041.9,1.0379e+06,0.9077,682.3,4.6402e-05,0,0,0,0,0.013231,0.045399,0.26712,0.041808,0
1.8395,413.58,-983.2,2.5723e+06,211.03,27123,0,0,0,0,0,0,-7.828e-15,-2.9107e-12,-3.6992e-12,-6.2624e-09,-4.0261e-11,1.1063e-10,0,0,6.6297e+05,1208.1,-0.96023,0.84944,7044.3,1.0335e+06,0.91099,682.65,4.643e-05,0,0,0,0,0.014241,0.079623,0.26712,0.048724,0
1.8457,411.31,-988.62,2.5795e+06,183.6,25079,0,0,0,0,0,0,-4.1032e-15,-1.9072e-12,-2.5545e-12,-6.216e-09,-2.3449e-11,7.3643e-11,0,0,6.6469e+05,1207.1,-0.95643,0.85016,7042.5,1.0369e+06,0.90851,682.38,4.6409e-05,0,0,0,0,0.013479,0.053178,0.26712,0.043487,0
1.8387,413.87,-982.69,2.5715e+06,214.22,27373,0,0,0,0,0,0,-7.7581e-15,-2.91e-12,-4.1261e-12,-5.6851e-09,-4.1766e-11,1.0249e-10,0,0,6.6275e+05,1208.2,-0.9607,0.84947,7044.5,1.0332e+06,0.9113,682.68,4.6433e-05,0,0,0,0,0.014342,0.08138,0.26712,0.049348,0
1.8274,421.78,-967.64,2.5586e+06,282.24,32526,0,0,0,0,0,0,-4.7073e-15,-2.5539e-12,-2.6337e-12,-8.4643e-09,-4.6245e-11,2.4445e-11,0,0,6.6019e+05,1210.9,-0.96634,0.84516,7048.6,1.025e+06,0.91499,683.45,4.6494e-05,0,0,0,0,0.01586,0.073137,0.26712,-0.068053,0
1.832,418.04,-974.81,2.5639e+06,251.5,30149,0,0,0,0,0,0,-5.9194e-15,-1.9239e-12,-4.6663e-12,-8.597e-09,-4.0451e-11,5.3694e-11,0,0,6.611e+05,1209.6,-0.96432,0.84761,7046.8,1.0289e+06,0.91367,683.08,4.6464e-05,0,0,0,0,0.015173,0.077689,0.26712,-0.07289,0
1.8545,408.97,-992.71,2.5895e+06,154.64,22785,0,0,0,0,0,0,-5.7251e-15,-1.1025e-12,-1.7469e-12,-5.4958e-09,-1.3664e-11,1.201e-10,0,0,6.6758e+05,1206.6,-0.9501,0.8486,7040.6,1.0397e+06,0.90437,682.23,4.6397e-05,0,0,0,0,0.012526,0.041614,0.26712,0.037148,0
1.8589,408.51,-994.13,2.5943e+06,141.11,21748,0,0,0,0,0,0,-2.859e-15,-5.155e-13,2.6644e-13,-5.2827e-09,-1.0496e-11,1.115e-10,0,0,6.6901e+05,1206.3,-0.94695,0.84757,7039.7,1.0408e+06,0.90232,682.15,4.6391e-05,0,0,0,0,0.011982,0.039322,0.26712,0.034306,0
1.8614,408.42,-995.02,2.5972e+06,134.01,21222,0,0,0,0,0,0,-2.514e-15,-4.0974e-13,7.9714e-13,-6.0876e-09,-8.5808e-12,9.1918e-11,0,0,6.6984e+05,1206.2,-0.94512,0.8471,7039.1,1.0416e+06,0.90112,682.12,4.6388e-05,0,0,0,0,0.011742,0.038166,0.26712,0.032745,0
1.8651,407.67,-995.28,2.6012e+06,127.26,20654,0,0,0,0,0,0,-3.335e-15,-6.4097e-13,1.0925e-13,-5.8082e-09,-8.3215e-12,7.6284e-11,0,0,6.7122e+05,1206.3,-0.94208,0.84537,7038.7,1.0419e+06,0.89915,682.16,4.6391e-05,0,0,0,0,0.011428,0.036447,0.26712,0.030478,0
1.8717,407.31,-995.65,2.6091e+06,116.73,19837,0,0,0,0,0,0,-2.6972e-15,-3.5911e-13,-1.8685e-12,-1.742e-09,-6.0101e-12,6.7581e-11,0,0,6.7381e+05,1206.7,-0.9364,0.84241,7037.9,1.0429e+06,0.89544,682.26,4.6399e-05,0,0,0,0,0.011013,0.034263,0.26712,0.027418,0
1.9053,436.08,-875.62,2.635e+06,539.71,41589,0,0,0,0,0,0,-2.7497e-15,3.3685e-12,-4.7909e-12,2.2068e-10,-9.1944e-11,-1.9514e-09,0,0,6.9816e+05,1228.3,-0.8829,0.74584,7050.7,9.8803e+05,0.86064,688.34,4.6882e-05,0,0,0,0,0.024256,0.036589,0.26712,-0.025115,0
1.8999,433.67,-872.32,2.6281e+06,567.64,42953,0,0,0,0,0,0,-2.5719e-15,3.2845e-12,-4.4235e-12,1.3905e-10,-9.7159e-11,-2.0055e-09,0,0,6.9653e+05,1228.8,-0.88647,0.74474,7052,9.8473e+05,0.86296,688.49,4.6894e-05,0,0,0,0,0.025014,0.037392,0.26712,-0.026312,0
1.9303,443.45,-892.44,2.6655e+06,406.58,35290,0,0,0,0,0,0,-3.3936e-15,1.3782e-12,-2.9319e-12,-1.7787e-09,-6.8508e-11,-2.0054e-09,0,0,7.0538e+05,1224.9,-0.86704,0.75102,7044,1.0024e+06,0.85034,687.38,4.6806e-05,0,0,0,0,0.021991,0.033888,0.26712,-0.021148,0
1.871,426.53,-862.31,2.5986e+06,649.83,48753,0,0,0,0,0,0,-3.1331e-15,2.5875e-12,-5.1494e-12,-3.2644e-09,-1.0519e-10,-1.6629e-09,0,0,6.8855e+05,1233.6,-0.90403,0.74533,7060.5,9.7422e+05,0.87436,689.82,4.7e-05,0,0,0,0,0.024727,0.041104,0.26712,-0.031198,0
