SENS_AOA=0
"Point","Sensitivity","PsiRho","Phi_x","Phi_y","PsiE","x_coord","y_coord"," x_Sens","y_Sens"
13831, -6.128387459272165e-01, -2.937230929799781e-02, 6.732193150443066e-06, 3.736811167916481e-06, 1.719107187204063e-08, 3.957366419980000e-01, 4.165682669980000e-02, 1.828126727300925e-01, 7.897562273511771e-01
13832, -5.106355353886288e-01, -2.580160034297757e-02, 5.159858890631421e-06, 3.260026531392507e-07, 1.839234803518043e-08, 3.960040926400000e-01, 4.105694335170000e-02, 5.171590772601886e-01, 3.391175744902127e-02
13833, -2.202888272667942e+00, -2.340193489251375e-02, 1.040263160434629e-06, -5.347492865217735e-07, 1.964961975769445e-08, 3.960432294310000e-01, 4.038935851210000e-02, 2.519418776122636e+00, 1.429197344323228e+00
13834, 3.122886117662221e-01, -2.236463075275950e-02, -2.400035827065356e-06, 1.174302489140909e-06, 2.069505307791210e-08, 3.957582495530000e-01, 3.978329802630000e-02, 4.816531687517267e-01, 1.689704600371214e+00
13835, 2.018554645213760e+00, -2.280873499386857e-02, -3.319609850455790e-06, 1.847667585870861e-06, 1.972615159699993e-08, 3.954516614500000e-01, 3.918439286070000e-02, -1.373031665989720e+00, 1.703012504261919e+00
13836, 2.117599089988495e+00, -2.287836392285296e-02, -3.907799708645644e-06, 1.956041137331358e-06, 1.918654082993192e-08, 3.951172148410000e-01, 3.860032759460000e-02, -1.701015476627041e+00, 1.286000561000309e+00
13837, 1.773988209091331e+00, -2.330161960599449e-02, -4.080671437993835e-06, 2.158047225143101e-06, 1.907837069243298e-08, 3.947718195810000e-01, 3.802233093120000e-02, -1.455577137173458e+00, 1.023058683583613e+00
13838, 1.381673068493969e+00, -2.370315520038604e-02, -4.192376327487936e-06, 2.288098107861849e-06, 1.907484080510060e-08, 3.944287845240000e-01, 3.744265512310000e-02, -1.124192890294254e+00, 8.111885199080481e-01
13839, 1.202214304415567e+00, -2.402021296330139e-02, -4.359186571778480e-06, 2.540973475328743e-06, 1.913555210071211e-08, 3.940753122800000e-01, 3.686904503020000e-02, -9.587953024957582e-01, 7.326927586804772e-01
13840, 1.097000483351905e+00, -2.439362819273155e-02, -4.514450657754479e-06, 2.794873927185244e-06, 1.919190014141185e-08, 3.937057988320000e-01, 3.630534467970000e-02, -8.691027966655842e-01, 6.742445698906412e-01
13841, 9.743235187526682e-01, -2.476202403119823e-02, -4.598216404756924e-06, 2.917129747228388e-06, 1.922142552748728e-08, 3.933294154960000e-01, 3.574592920120000e-02, -7.777572016280209e-01, 5.893972696962055e-01
13842, 8.173432164525519e-01, -2.509272896035649e-02, -4.643640871466926e-06, 2.961007778450965e-06, 1.925843664720404e-08, 3.929527074020000e-01, 3.518647334160000e-02, -6.546811323147007e-01, 4.911390977864197e-01
13843, 6.709362296526874e-01, -2.540122710862861e-02, -4.711315348420413e-06, 3.054967300885512e-06, 1.933244272538100e-08, 3.925764294700000e-01, 3.462647690440000e-02, -5.319457097445259e-01, 4.108660658612059e-01
13844, 5.840296684273292e-01, -2.570334161972958e-02, -4.794552244380350e-06, 3.193439185489227e-06, 1.941579364520482e-08, 3.921932516900000e-01, 3.407093887580000e-02, -4.603472249886360e-01, 3.609804069561416e-01
13845, 5.228145509825323e-01, -2.597286534647586e-02, -4.835516223385567e-06, 3.243590241481392e-06, 1.946035421087811e-08, 3.918060211060000e-01, 3.351796893410000e-02, -4.167466186631390e-01, 3.164159188469032e-01
13846, 4.453748241560775e-01, -2.620156342807365e-02, -4.852750457191045e-06, 3.241147726351713e-06, 1.949647360256085e-08, 3.914215511320000e-01, 3.296284291440000e-02, -3.576133171159970e-01, 2.659024171593944e-01
13847, 3.766523239728390e-01, -2.640694486045594e-02, -4.879268844750165e-06, 3.264632934437541e-06, 1.954767946173001e-08, 3.910376465020000e-01, 3.240709862010000e-02, -3.024050351935872e-01, 2.249148894821463e-01
13848, 3.320302260366838e-01, -2.659226692001924e-02, -4.903594208489781e-06, 3.288682929981732e-06, 1.959383110980874e-08, 3.906530644390000e-01, 3.185160305720000e-02, -2.676446293944246e-01, 1.967267305563580e-01
13849, 2.980576285633018e-01, -2.675316754424632e-02, -4.916193565648980e-06, 3.289976191837293e-06, 1.962861164987360e-08, 3.902688536000000e-01, 3.129563805180000e-02, -2.422115507604770e-01, 1.737936388289115e-01
13850, 2.660019948303238e-01, -2.689017851225728e-02, -4.920488174640605e-06, 3.276014869476487e-06, 1.965746254744332e-08, 3.898860872510000e-01, 3.073847241610000e-02, -2.176732971875147e-01, 1.529230080929464e-01
13851, 2.355045319177988e-01, -2.700696474258665e-02, -4.922908448320852e-06, 3.263330840265498e-06, 1.968580430342626e-08, 3.895048254920000e-01, 3.018007773230000e-02, -1.932798752946794e-01, 1.345757439619282e-01
13852, 2.437303070677556e-01, -2.709031588043407e-02, -4.918958975544568e-06, 3.250276904790907e-06, 1.969977461385765e-08, 3.891242374960000e-01, 2.962103238650000e-02, -2.043104088651858e-01, 1.329924306336735e-01
13853, 2.199488765263352e-01, -2.718888581290878e-02, -4.929396355729055e-06, 3.258954407047521e-06, 1.972844154503266e-08, 3.887436301510000e-01, 2.906181602830000e-02, -1.854759347507384e-01, 1.183993442952475e-01
13854, 1.995018553892406e-01, -2.728506030197139e-02, -4.941839261987943e-06, 3.271749696866758e-06, 1.975550398309077e-08, 3.883628452530000e-01, 2.850254326150000e-02, -1.687296151901324e-01, 1.066664766879770e-01
13855, 1.848059664503311e-01, -2.737331350994947e-02, -4.952613563113695e-06, 3.282385355033407e-06, 1.977836672665530e-08, 3.879818462970000e-01, 2.794324587840000e-02, -1.568413173040167e-01, 9.801576110357023e-02
13856, 1.740712611315790e-01, -2.745178919093847e-02, -4.959631101103909e-06, 3.286245232256915e-06, 1.979643690514788e-08, 3.876008401230000e-01, 2.738378992610000e-02, -1.484363148383926e-01, 9.128016148542403e-02
13857, 1.647403350180422e-01, -2.752079476028375e-02, -4.963537847462077e-06, 3.284820823151335e-06, 1.981201288440966e-08, 3.872202120950000e-01, 2.682392017760000e-02, -1.410560595042554e-01, 8.552714986873605e-02
13858, 1.537235350548709e-01, -2.758375033157490e-02, -4.968446403715956e-06, 3.287149283540086e-06, 1.982424544909678e-08, 3.868399989250000e-01, 2.626361908860000e-02, -1.317977449001816e-01, 7.954648236168688e-02
13859, 1.437239222923351e-01, -2.764272604113870e-02, -4.978123305231469e-06, 3.300647197834411e-06, 1.984157269079683e-08, 3.864595445080000e-01, 2.570333921560000e-02, -1.231703335352168e-01, 7.446316199975303e-02
