"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y"
13831, 3.957366419980000e-01, 4.165682669980000e-02, 4.791883264876594e+05, -1.364013555316083e+00, -1.430096015828904e-04, 1.962654736917513e-04
13832, 3.960040926400000e-01, 4.105694335170000e-02, 4.624034493348188e+05, -1.400892372093574e+00, -8.247266273326272e-05, 3.409516017877414e-04
13833, 3.960432294310000e-01, 4.038935851210000e-02, 4.798389431337683e+05, -1.362584055900284e+00, 8.511454133080600e-05, 4.409549969958195e-04
13834, 3.957582495530000e-01, 3.978329802630000e-02, 5.091672468222533e+05, -1.298145506349194e+00, 2.183586650855009e-04, 4.447750716135784e-04
13835, 3.954516614500000e-01, 3.918439286070000e-02, 5.114282356264442e+05, -1.293177785043494e+00, 2.089898070083012e-04, 3.856714115311304e-04
13836, 3.951172148410000e-01, 3.860032759460000e-02, 5.138788654921142e+05, -1.287793394738904e+00, 2.035349921903762e-04, 3.479048239459573e-04
13837, 3.947718195810000e-01, 3.802233093120000e-02, 5.130870923276702e+05, -1.289533035559327e+00, 1.954642030122412e-04, 3.286948895234980e-04
13838, 3.944287845240000e-01, 3.744265512310000e-02, 5.117587210505116e+05, -1.292451660491564e+00, 1.960462329907894e-04, 3.246159173462413e-04
13839, 3.940753122800000e-01, 3.686904503020000e-02, 5.132728996546974e+05, -1.289124789832715e+00, 2.043255732040691e-04, 3.214193736197327e-04
13840, 3.937057988320000e-01, 3.630534467970000e-02, 5.155992900455315e+05, -1.284013371727283e+00, 2.078519129584655e-04, 3.129679314069395e-04
13841, 3.933294154960000e-01, 3.574592920120000e-02, 5.165433436854300e+05, -1.281939148550257e+00, 2.046207607832877e-04, 3.040059882511589e-04
13842, 3.929527074020000e-01, 3.518647334160000e-02, 5.163955311171082e+05, -1.282263914264949e+00, 2.012375639880215e-04, 2.991766718508077e-04
13843, 3.925764294700000e-01, 3.462647690440000e-02, 5.169584814475113e+05, -1.281027030497452e+00, 2.013022793314212e-04, 2.956849584381133e-04
13844, 3.921932516900000e-01, 3.407093887580000e-02, 5.184970160363207e+05, -1.277646646197355e+00, 2.007348391495162e-04, 2.888288594879901e-04
13845, 3.918060211060000e-01, 3.351796893410000e-02, 5.190952309280802e+05, -1.276332281058672e+00, 1.958406122243184e-04, 2.812103596844433e-04
13846, 3.914215511320000e-01, 3.296284291440000e-02, 5.189449244936599e+05, -1.276662526159961e+00, 1.907696470272843e-04, 2.758034122831169e-04
13847, 3.910376465020000e-01, 3.240709862010000e-02, 5.190477485017854e+05, -1.276436606856444e+00, 1.875967912719557e-04, 2.712669372717769e-04
13848, 3.906530644390000e-01, 3.185160305720000e-02, 5.191518334505684e+05, -1.276207917082875e+00, 1.844118669217564e-04, 2.666082346453639e-04
13849, 3.902688536000000e-01, 3.129563805180000e-02, 5.189394673979430e+05, -1.276674516193087e+00, 1.808072785573476e-04, 2.624095280081319e-04
13850, 3.898860872510000e-01, 3.073847241610000e-02, 5.184297174459118e+05, -1.277794510990315e+00, 1.776687572272874e-04, 2.594148219186114e-04
13851, 3.895048254920000e-01, 3.018007773230000e-02, 5.178205985001374e+05, -1.279132833921866e+00, 1.756470114376886e-04, 2.576295396460042e-04
13852, 3.891242374960000e-01, 2.962103238650000e-02, 5.172557555059241e+05, -1.280373876147076e+00, 1.745797457668801e-04, 2.564727258166100e-04
13853, 3.887436301510000e-01, 2.906181602830000e-02, 5.167209157834977e+05, -1.281548996819637e+00, 1.739233002457212e-04, 2.554942235062321e-04
13854, 3.883628452530000e-01, 2.850254326150000e-02, 5.161713080815243e+05, -1.282756564891540e+00, 1.733314858299445e-04, 2.545123857235290e-04
13855, 3.879818462970000e-01, 2.794324587840000e-02, 5.155717887588979e+05, -1.284073796054590e+00, 1.726690701716381e-04, 2.535076085050809e-04
13856, 3.876008401230000e-01, 2.738378992610000e-02, 5.148514708464971e+05, -1.285656439291778e+00, 1.719614394224990e-04, 2.527208707103002e-04
13857, 3.872202120950000e-01, 2.682392017760000e-02, 5.139867700487440e+05, -1.287556312731263e+00, 1.715213865590255e-04, 2.525274074748263e-04
13858, 3.868399989250000e-01, 2.626361908860000e-02, 5.130875023429678e+05, -1.289532134696074e+00, 1.716965605353893e-04, 2.529355795685272e-04
13859, 3.864595445080000e-01, 2.570333921560000e-02, 5.122799442136339e+05, -1.291306457380576e+00, 1.723466612639948e-04, 2.534316157369377e-04
13860, 3.860782543350000e-01, 2.514349200980000e-02, 5.115178343642788e+05, -1.292980923582668e+00, 1.729068674619289e-04, 2.536068855941917e-04
13861, 3.856963463180000e-01, 2.458393708370000e-02, 5.106666128471278e+05, -1.294851181081857e+00, 1.731075570540247e-04, 2.535964035613161e-04
13862, 3.853143132350000e-01, 2.402434551620000e-02, 5.096799643363911e+05, -1.297018991386330e+00, 1.731976591696852e-04, 2.537689970590642e-04
13863, 3.849323782210000e-01, 2.346457196820000e-02, 5.085865760220293e+05, -1.299421324566658e+00, 1.735109693981536e-04, 2.543576016548155e-04
13864, 3.845505067760000e-01, 2.290464697660000e-02, 5.074034406492448e+05, -1.302020845089721e+00, 1.742142702933561e-04, 2.554766497291808e-04
13865, 3.841686540660000e-01, 2.234460809780000e-02, 5.061163622867320e+05, -1.304848743481658e+00, 1.754357848313266e-04, 2.573034208782277e-04
13866, 3.837867636280000e-01, 2.178450079410000e-02, 5.047507199177607e+05, -1.307849258424381e+00, 1.774073146630694e-04, 2.600048615882474e-04
13867, 3.834044454700000e-01, 2.122459818950000e-02, 5.034107088007493e+05, -1.310793457778006e+00, 1.802941097158190e-04, 2.634551148217360e-04
13868, 3.830209346180000e-01, 2.066543167930000e-02, 5.022103301380529e+05, -1.313430864317362e+00, 1.839176571198437e-04, 2.671592986382720e-04
13869, 3.826354488620000e-01, 2.010755158470000e-02, 5.012536943140578e+05, -1.315532732383161e+00, 1.877365318707629e-04, 2.702906753855013e-04
13870, 3.822472303530000e-01, 1.955150331250000e-02, 5.005466169607018e+05, -1.317086284186041e+00, 1.908813209250094e-04, 2.720008344208148e-04
13871, 3.818563059780000e-01, 1.899729357960000e-02, 4.998797354536181e+05, -1.318551519867428e+00, 1.925710424200583e-04, 2.721575949482719e-04
13872, 3.814637320640000e-01, 1.844419762780000e-02, 4.990242605868561e+05, -1.320431122594442e+00, 1.928331301159270e-04, 2.714183855379889e-04
13873, 3.810706298140000e-01, 1.789143093110000e-02, 4.978246376790624e+05, -1.323066868630338e+00, 1.924282161635581e-04, 2.708946303702887e-04
13874, 3.806781048620000e-01, 1.733821538290000e-02, 4.962303894026020e+05, -1.326569664006798e+00, 1.925379149331313e-04, 2.718088570569273e-04
13875, 3.802864310600000e-01, 1.678436499500000e-02, 4.944471028399128e+05, -1.330487803997239e+00, 1.942879722037501e-04, 2.746498249303809e-04
13731, 3.500443242220000e-01, 5.641353899100000e-03, 7.128924893056615e+05, -8.505315129858733e-01, 2.438592011203165e-04, 1.379751845967320e-04
13732, 3.505637162780000e-01, 5.940782778940000e-03, 7.105071321843715e+05, -8.557724895759257e-01, 2.511999555173431e-04, 1.455530174625631e-04
13733, 3.510818259430000e-01, 6.242514459830000e-03, 7.079847031281462e+05, -8.613146331466940e-01, 2.565472388012399e-04, 1.490884504409643e-04
13734, 3.516005248740000e-01, 6.543308020310000e-03, 7.055277244362206e+05, -8.667129727461228e-01, 2.589307229427213e-04, 1.495075335992025e-04
13735, 3.521203750140000e-01, 6.842176440310000e-03, 7.038001240455444e+05, -8.705087621160610e-01, 2.583738582011316e-04, 1.490169587973305e-04
13736, 3.526394228130000e-01, 7.142491747520000e-03, 7.029749012809719e+05, -8.723218965738329e-01, 2.571054900292681e-04, 1.504974305941184e-04
13737, 3.531554271320000e-01, 7.448047144480000e-03, 7.024215474329962e+05, -8.735376954734491e-01, 2.577948457651253e-04, 1.549842424836310e-04
13738, 3.536673306480000e-01, 7.760461888380000e-03, 7.014642019866089e+05, -8.756411226828708e-01, 2.612060461203748e-04, 1.614477572144683e-04
13739, 3.541756824370000e-01, 8.078652496940000e-03, 6.999389038407078e+05, -8.789924245924121e-01, 2.663808753314339e-04, 1.683874116937302e-04
13740, 3.546811940770000e-01, 8.401355640260001e-03, 6.979710537555097e+05, -8.833160774900036e-01, 2.721399315391918e-04, 1.747664498002123e-04
13741, 3.551849525410000e-01, 8.726799029380001e-03, 6.956035776379912e+05, -8.885177669136451e-01, 2.775211034723017e-04, 1.794965822192272e-04
13742, 3.556883640320000e-01, 9.052778405500001e-03, 6.930021262109387e+05, -8.942335341283952e-01, 2.813173796853894e-04, 1.816304117907290e-04
