"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y"
11040, 1.967587565270000e-01, 9.996525811620000e-02, 5.709749459806939e+05, -1.162345000218190e+00, 2.587408947426248e-04, -2.582821685544192e-04
11041, 1.975647488770000e-01, 9.916216552090000e-02, 5.726580245310289e+05, -1.158647031808011e+00, 2.606146439670093e-04, -2.571007602037720e-04
11042, 1.983787722370000e-01, 9.836708518070000e-02, 5.576615598452074e+05, -1.191596446237592e+00, 3.008249065031098e-04, -2.967191320650013e-04
11249, 1.289946221720000e-01, 9.509366658540000e-02, 1.077428931269805e+06, -4.959192138216888e-02, 8.916112965549504e-05, -5.504425264453189e-05
11250, 1.280359241320000e-01, 9.572160705360000e-02, 1.078501764979957e+06, -4.723474965734050e-02, 9.173979612609641e-05, -6.177145113247460e-05
11251, 1.270950543070000e-01, 9.637270870780000e-02, 1.081226581656900e+06, -4.124793104281019e-02, 8.526329203415658e-05, -6.620375488849647e-05
11252, 1.262321076230000e-01, 9.712220305660001e-02, 1.084103563931613e+06, -3.492678247466135e-02, 8.197875925125518e-05, -7.489495016762782e-05
11253, 1.254107213630000e-01, 9.791149793880000e-02, 1.088769159538654e+06, -2.467579022829730e-02, 6.587338698700127e-05, -7.464100554896116e-05
11254, 1.247289876660000e-01, 9.882538533070000e-02, 1.093774787814865e+06, -1.367769674368784e-02, 5.060913872059759e-05, -7.627272822199787e-05
11255, 1.241545035690000e-01, 9.980473621180000e-02, 1.103209284563303e+06, 7.051265035732674e-03, 2.737287344134377e-05, -6.421720316623893e-05
11256, 1.238457204420000e-01, 1.008975445030000e-01, 1.103534631625164e+06, 7.766099858425394e-03, 9.779813204423483e-07, -3.706859210303885e-06
11257, 1.235754502630000e-01, 1.019995317930000e-01, 1.104696825313822e+06, 1.031960845510382e-02, -9.551115498789319e-06, 5.845634133438523e-05
11258, 1.235460788320000e-01, 1.027314614140000e-01, 1.096835369013440e+06, -6.953154631935000e-03, -1.700380141690595e-07, 8.393553186357943e-05
11259, 1.235723794390000e-01, 1.035153766290000e-01, 1.092042089322270e+06, -1.748468738515595e-02, 8.823182617278225e-06, 1.168457198621506e-04
11260, 1.236679860370000e-01, 1.043458828470000e-01, 1.084359897816915e+06, -3.436357964011841e-02, 2.552512301236446e-05, 1.430518914044662e-04
11261, 1.238756988080000e-01, 1.052152865340000e-01, 1.075425273876240e+06, -5.399424814508188e-02, 4.796136466106013e-05, 1.695326289226974e-04
11262, 1.241696533480000e-01, 1.061191638760000e-01, 1.060839989791820e+06, -8.604023897951418e-02, 8.328204888940859e-05, 1.851808762447805e-04
11263, 1.246764106110000e-01, 1.069957003840000e-01, 1.048582034522221e+06, -1.129727498545019e-01, 1.194217154200925e-04, 1.950142249598312e-04
11264, 1.252599247730000e-01, 1.078995640000000e-01, 1.036497507852555e+06, -1.395242128670229e-01, 1.317851752303404e-04, 1.608665277243333e-04
8028, 1.260719232630000e-01, 1.086991641790000e-01, 1.027177483016120e+06, -1.600016632037014e-01, 1.479301100765211e-04, 1.375374838758338e-04
8030, 1.269796520930000e-01, 1.094984742450000e-01, 1.029279861626969e+06, -1.553824315655775e-01, 1.436203352312177e-04, 1.227085368915880e-04
8042, 1.279633635660000e-01, 1.103152018510000e-01, 1.023384528708501e+06, -1.683353355733204e-01, 1.553469719179014e-04, 1.254962694854228e-04
8051, 1.290237512090000e-01, 1.111497894290000e-01, 1.015385407224549e+06, -1.859105690946235e-01, 1.668643919218817e-04, 1.263281583013316e-04
8054, 1.301716424470000e-01, 1.119870253050000e-01, 1.003530717078319e+06, -2.119570478311553e-01, 1.794626647128339e-04, 1.217351010437257e-04
8056, 1.314345302870000e-01, 1.127850957760000e-01, 9.937077068739962e+05, -2.335396301896659e-01, 1.883380753786396e-04, 1.115149401473320e-04
